src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,min_rtt,avg_rtt,max_rtt,mdev_rtt
azure:uaenorth,PREMIUM,Standard_D2_v3,gcp:asia-northeast1-a,PREMIUM,n2-standard-4,152.348,152.437,152.572,0.31
gcp:europe-north1-a,PREMIUM,n2-standard-4,gcp:australia-southeast1-a,STANDARD,n2-standard-4,,,,
azure:japaneast,PREMIUM,Standard_D2_v3,gcp:europe-north1-a,STANDARD,n2-standard-4,248.527,248.677,248.952,0.642
azure:northcentralus,PREMIUM,Standard_D2_v3,gcp:us-east4-a,STANDARD,n2-standard-4,29.358,29.578,30.369,0.346
aws:eu-north-1,PREMIUM,m5.large,gcp:us-east4-a,STANDARD,n2-standard-4,106.939,107.072,107.226,0.309
aws:ap-northeast-3,PREMIUM,m5.large,gcp:europe-west6-a,STANDARD,n2-standard-4,223.866,223.93,224.035,0.216
azure:canadacentral,PREMIUM,Standard_D2_v3,gcp:europe-west3-a,PREMIUM,n2-standard-4,97.483,97.655,97.999,0.316
azure:westus3,PREMIUM,Standard_D2_v3,gcp:asia-east1-a,PREMIUM,n2-standard-4,149.65,149.849,150.026,0.474
aws:ap-south-1,PREMIUM,m5.large,gcp:europe-north1-a,PREMIUM,n2-standard-4,162.245,162.303,162.362,0.542
gcp:southamerica-east1-a,PREMIUM,n2-standard-4,gcp:europe-west6-a,STANDARD,n2-standard-4,,,,
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:asia-northeast1-a,PREMIUM,n2-standard-4,227.5,227.719,228.124,0.353
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:asia-northeast2-a,PREMIUM,n2-standard-4,133.519,133.657,133.776,0.496
gcp:asia-southeast1-a,PREMIUM,n2-standard-4,gcp:europe-west3-a,PREMIUM,n2-standard-4,,,,
aws:ap-east-1,PREMIUM,m5.large,aws:me-south-1,PREMIUM,m5.large,136.882,136.893,136.902,0.165
azure:francecentral,PREMIUM,Standard_D2_v3,gcp:asia-south2-a,PREMIUM,n2-standard-4,157.43,157.67,157.84,0.281
aws:eu-central-1,PREMIUM,m5.large,aws:ap-northeast-1,PREMIUM,m5.large,224.302,224.382,224.886,0.403
gcp:asia-northeast1-a,PREMIUM,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
gcp:asia-east1-a,STANDARD,n2-standard-4,gcp:us-west4-a,STANDARD,n2-standard-4,,,,
gcp:asia-northeast3-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,,,,
aws:ap-southeast-2,PREMIUM,m5.large,gcp:us-east1-b,PREMIUM,n2-standard-4,202.487,202.617,202.807,0.103
gcp:asia-northeast3-a,STANDARD,n2-standard-4,gcp:southamerica-east1-a,STANDARD,n2-standard-4,,,,
azure:uksouth,PREMIUM,Standard_D2_v3,gcp:us-central1-a,PREMIUM,n2-standard-4,101.352,101.561,101.961,0.218
aws:eu-south-1,PREMIUM,m5.large,gcp:us-west4-a,PREMIUM,n2-standard-4,155.087,155.213,155.407,0.315
azure:canadacentral,PREMIUM,Standard_D2_v3,aws:us-west-2,PREMIUM,m5.large,80.413,80.57,80.918,0.37
aws:me-south-1,PREMIUM,m5.large,gcp:australia-southeast1-a,STANDARD,n2-standard-4,284.61,284.675,284.818,0.536
azure:canadacentral,PREMIUM,Standard_D2_v3,aws:eu-north-1,PREMIUM,m5.large,120.003,121.778,137.03,5.105
aws:ap-south-1,PREMIUM,m5.large,gcp:europe-west2-a,STANDARD,n2-standard-4,122.042,122.143,122.264,0.355
gcp:us-east4-a,PREMIUM,n2-standard-4,gcp:europe-north1-a,STANDARD,n2-standard-4,,,,
azure:westus3,PREMIUM,Standard_D2_v3,gcp:asia-east1-a,STANDARD,n2-standard-4,153.433,153.575,153.747,0.475
gcp:europe-west1-b,PREMIUM,n2-standard-4,gcp:northamerica-northeast1-a,STANDARD,n2-standard-4,,,,
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,314.265,314.516,314.758,0.627
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:australia-southeast2-a,PREMIUM,n2-standard-4,269.775,270.024,270.538,0.704
aws:us-west-1,PREMIUM,m5.large,aws:eu-west-2,PREMIUM,m5.large,146.327,146.417,146.77,0.498
azure:westeurope,PREMIUM,Standard_D2_v3,gcp:asia-east1-a,STANDARD,n2-standard-4,211.337,211.492,211.781,0.475
gcp:australia-southeast2-a,PREMIUM,n2-standard-4,gcp:europe-central2-a,PREMIUM,n2-standard-4,,,,
azure:brazilsouth,PREMIUM,Standard_D2_v3,gcp:europe-west3-a,STANDARD,n2-standard-4,190.52,190.672,190.895,0.302
aws:eu-north-1,PREMIUM,m5.large,gcp:us-east1-b,PREMIUM,n2-standard-4,113.826,113.937,114.06,0.271
aws:us-east-2,PREMIUM,m5.large,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,199.685,199.779,199.84,0.601
aws:me-south-1,PREMIUM,m5.large,gcp:europe-west1-b,STANDARD,n2-standard-4,91.403,91.483,91.552,0.385
aws:ap-northeast-3,PREMIUM,m5.large,gcp:asia-south1-a,PREMIUM,n2-standard-4,131.586,131.741,131.858,0.178
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:europe-north1-a,PREMIUM,n2-standard-4,166.193,166.39,167.14,0.323
azure:uksouth,PREMIUM,Standard_D2_v3,aws:us-west-2,PREMIUM,m5.large,159.534,159.692,159.892,0.513
gcp:europe-west3-a,PREMIUM,n2-standard-4,gcp:europe-west6-a,STANDARD,n2-standard-4,,,,
azure:japaneast,PREMIUM,Standard_D2_v3,gcp:asia-south1-a,STANDARD,n2-standard-4,127.022,127.162,127.389,0.435
aws:ap-southeast-3,PREMIUM,m5.large,gcp:northamerica-northeast1-a,STANDARD,n2-standard-4,258.877,258.984,259.07,0.459
aws:ap-east-1,PREMIUM,m5.large,gcp:asia-northeast3-a,PREMIUM,n2-standard-4,48.297,48.445,48.607,0.255
gcp:us-west4-a,PREMIUM,n2-standard-4,gcp:europe-west1-b,STANDARD,n2-standard-4,,,,
aws:ap-northeast-2,PREMIUM,m5.large,gcp:asia-east2-a,PREMIUM,n2-standard-4,102.84,102.894,102.964,0.206
azure:swedencentral,PREMIUM,Standard_D2_v3,gcp:asia-east2-a,PREMIUM,n2-standard-4,229.494,229.625,229.908,0.113
aws:us-east-2,PREMIUM,m5.large,gcp:europe-west2-a,STANDARD,n2-standard-4,87.692,87.784,87.88,0.401
gcp:us-east1-b,PREMIUM,n2-standard-4,gcp:australia-southeast1-a,STANDARD,n2-standard-4,,,,
gcp:asia-northeast3-a,STANDARD,n2-standard-4,gcp:us-east1-b,STANDARD,n2-standard-4,,,,
aws:sa-east-1,PREMIUM,m5.large,gcp:europe-north1-a,STANDARD,n2-standard-4,214.017,214.195,214.357,0.106
gcp:asia-east1-a,PREMIUM,n2-standard-4,gcp:us-west1-a,STANDARD,n2-standard-4,,,,
aws:us-east-2,PREMIUM,m5.large,aws:sa-east-1,PREMIUM,m5.large,126.206,126.221,126.246,0.449
azure:westus3,PREMIUM,Standard_D2_v3,gcp:europe-west3-a,PREMIUM,n2-standard-4,149.264,149.468,149.667,0.127
